standardized_variable,full_question,notes
vaccinated,Was the child vaccinated?,NA
vaccinated_measles,Was the child vaccinated for measles?,NA
vaccination_card,Do you have the child's vaccination card?,NA
venomous_animal,Was the child injured by a bite or sting of venomous animal?,NA
very_small_size,"At birth, was the baby very much smaller than usual (weighing under 1 kg)?",NA
visit,Visit,NA
visit_date,Visit date,NA
visit_outcome,Visit outcome,NA
visit_outcome_other,"Visit outcome, other",NA
vitamin_a_1,Note vaccines the child has received: Vitamin A1,"Gambia, WHO2016"
vitamin_a_2,Note vaccines the child has received: Vitamin A2,"Gambia, WHO2016"
vitamin_a_3,Note vaccines the child has received: Vitamin A3,"Gambia, WHO2016"
vitamin_a_4,Note vaccines the child has received: Vitamin A4,"Gambia, WHO2016"
vomit,Did the child vomit?,NA
vomit_continuous,Was the vomiting present throughout the illness or intermittent?,NA
vomit_swell_abdomen,"During the illness that led to death, did the child have any vomiting or swelling of the abdomen?","n08_12, see vomit, swell_abdomen"
vomit_week_before_death,Did the child vomit in the week preceding death?,NA
vomit_week_preceding_death,Did the child vomit during the week preceding his/her death?,NA
wasting_month_prior_to_death,Did the child have wasting and appear like an old man (marasmus) during the month before he/she died?,NA
water_break,When did the water break?,NA
water_break_24_hours_before_delivery,Did the water break 24 hours before the delivery?,NA
way_treated_problems,"Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?",NA
weaned,Had the deceased child been weaned?,NA
weeks_abdomen_mass,Weeks the child had an abdomen mass,NA
weeks_abdomen_pain,Weeks the child had abdomen pain,NA
weeks_breathlessness,Weeks the child experienced breathlessness,NA
weeks_cough,Weeks the child had a cough,NA
weeks_diarrhea,Weeks the child had diarrhea,NA
weeks_fast_breathing,Weeks the child had fast breathing,NA
weeks_fever,Weeks the child had a fever,NA
weeks_ill_before_death,Weeks the child was ill before his/her death,NA
weeks_mother_die,How many weeks after the delivery did the mother die?,NA
weeks_painful_neck,Weeks the child had a painful neck,NA
weeks_pregnancy,How many weeks was the pregnancy when the baby was born?,NA
weeks_pregnancy_end_early,"If the pregnancy ended early, how many weeks before the expected due date?",NA
weeks_protruding_abdomen,Weeks the child had a protruding abdomen,NA
weeks_rash,Weeks the child had a rash,NA
weeks_unconscious,Weeks the child was unconscious,NA
weighed_after_birth,Was the child weighed after birth?,NA
weight_loss,Did the child have noticeable weight loss?,NA
western_drugs,Did the child receive any western drugs during the illness?,NA
what_difficulty_swallowing,"Was the difficulty swallowing with solids, liquids, or both?",NA
wheezing,"During the illness that led to death, did the child have wheezing?","see noisy_breathing, breathing_sound"
when_mother_die,How many months and days after delivery did the mother die?,NA
when_stop_moving_womb,When did the child stop moving in the womb?,NA
when_water_break,When did the water break?,NA
where_born,Where was the child born?,NA
where_born_facility_specific,Where was the child born? Specific facility,NA
where_born_other,Where was the child born? Other,NA
where_born_specific,Where was the child born? Specific,NA
where_died,Where did the death occur?,NA
where_died_other,Where did the death occur? Other,NA
where_died_specific,Where did the child die? Specify,NA
where_outside_care,"If you took child for treatment, was it a doctor, nurse, traditional healer, relative, other? / Where or from whom did you seek outside care?",NA
where_outside_care_specific,Where or from whom did you seek outside care? Specific,NA
who_assisted_delivery,Who assisted the mother with the delivery?,NA
who_assisted_delivery_other,Who assisted the mother with the delivery? Other,NA
who_assisted_delivery_specific,Who assisted the mother with the delivery? Specific,NA
who_else_should_interview,Is there anyone else that should be interviewed?,NA
who_present_at_death,Who was present at the time of death?,NA
who_present_at_death_specific,Who was present at the child's death? Specific,NA
who_told_cause_death,Who told the respondent of the cause of death?,NA
whooping,Did the child make a whooping sound when coughing?,NA
why_no_outside_care,Why was outside care/treatment not sought?,NA
woman_died,Was this a woman who died more than 42 days but less than 1 year after being pregnant or delivering a baby?,NA
words_interested_mentioned,Words of interested mentioned,NA
wrinkled_skin,Did the child have wrinkled skin?,NA
year_death,Year of death,NA
years_difficulty_breathing,Years the child had difficulty breathing,NA
years_education,"If educated, number of years of education of deceased",NA
years_ill_before_death,Years the child was ill before his/her death,NA
yellow_eyes,Did the child have yellow discoloration of the eyes?,NA
yellow_fever,Note vaccines the child has received: Yellow fever,"Gambia, WHO2016"
yellow_palms_soles,Did the child have yellow palms or soles?,NA
yellow_skin,"During the illness that led to death, did s/he have yellow eyes or skin?",see yellow_eyes
